2025-09-09T01:10:31.5803063 | CREATE | CREATED | P-0012 | 1002623831 | Paciente almacenado
2025-09-09T01:10:31.5855934 | FASTA | SAVED | P-0012 | 1002623831 | Guardado exacto (BASE64)
2025-09-09T01:10:31.607363 | DETECTION | FOUND | P-0012 | 1002623831 | anemia_falciforme(8) Matched 15/15 bases (100%)
2025-09-09T01:16:06.7803814 | CREATE | DUPLICATE |  | 1002593169 | Documento ya existe
2025-09-09T01:32:43.8896414 | CREATE | CREATED | P-0013 | 1002678432 | Paciente almacenado
2025-09-09T01:32:43.8989647 | FASTA | SAVED | P-0013 | 1002678432 | Guardado exacto (BASE64)
2025-09-09T01:32:43.9327096 | DETECTION | FOUND | P-0013 | 1002678432 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T01:44:47.1168201 | CREATE | CREATED | P-0014 | 3205363051 | Paciente almacenado
2025-09-09T01:44:47.1168201 | FASTA | SAVED | P-0014 | 3205363051 | Guardado exacto (BASE64)
2025-09-09T01:44:47.1326362 | DETECTION | FOUND | P-0014 | 3205363051 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T01:48:35.3497971 | CREATE | INVALID |  | 0908070921 | Email inválido
2025-09-09T01:49:08.9457274 | CREATE | CREATED | P-0015 | 1234567812 | Paciente almacenado
2025-09-09T01:49:08.9457274 | FASTA | SAVED | P-0015 | 1234567812 | Guardado exacto (BASE64)
2025-09-09T01:49:08.9618119 | DETECTION | FOUND | P-0015 | 1234567812 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T01:49:08.9618119 | DETECTION | FOUND | P-0015 | 1234567812 | sarscov2(9) Matched 5/5 bases (100%)
2025-09-09T02:12:23.6157138 | CREATE | CREATED | P-0016 | 8976345623 | Paciente almacenado
2025-09-09T02:12:23.6191462 | FASTA | SAVED | P-0016 | 8976345623 | Guardado exacto (BASE64)
2025-09-09T02:12:23.6415941 | DETECTION | FOUND | P-0016 | 8976345623 | influenza(7) Matched 4/5 bases (80%)
2025-09-09T02:12:23.6458303 | DETECTION | FOUND | P-0016 | 8976345623 | sarscov2(9) Matched 5/5 bases (100%)
